task	model	srho_mean	srho_sd	srho_min	2021_dataset	2022_dataset	2020_dataset	dim_red	n_modalities	feature_set
task_11	lasso	-0.259	0.207	-0.405	-0.112	-0.405	NA	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	rf	0.228	0.005	0.225	0.225	0.232	NA	none	8	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_11	elnet	-0.23	0.265	-0.418	-0.043	-0.418	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_11	lasso	-0.248	0.222	-0.405	-0.091	-0.405	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_11	rf	0.118	0.015	0.107	0.107	0.128	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_11	elnet	-0.277	0.212	-0.427	-0.128	-0.427	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	lasso	-0.262	0.172	-0.383	-0.14	-0.383	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	rf	0.256	0.081	0.198	0.313	0.198	NA	none	6	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+metadata+baseline
task_11	elnet	-0.277	0.212	-0.427	-0.128	-0.427	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_11	lasso	-0.262	0.172	-0.383	-0.14	-0.383	NA	none	7	pbmc_cell_frequency+pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
