task	model	srho_mean	srho_sd	srho_min	2021_dataset	2022_dataset	dim_red	n_modalities	feature_set
task_12	rf	0.153	0.099	0.083	0.083	0.223	pca	5	pbmc_cell_frequency_pca+plasma_cytokine_concentration_by_legendplex_pca+t_cell_activation_pca+metadata+baseline
task_12	elnet	0.416	0.658	-0.05	-0.05	0.881	pca	6	pbmc_cell_frequency_pca+plasma_cytokine_concentration_by_legendplex_pca+t_cell_activation_pca+t_cell_polarization_pca+metadata+baseline
task_12	lasso	0.431	0.631	-0.015	-0.015	0.877	pca	6	pbmc_cell_frequency_pca+plasma_cytokine_concentration_by_legendplex_pca+t_cell_activation_pca+t_cell_polarization_pca+metadata+baseline
task_12	rf	0.134	0.043	0.104	0.104	0.165	pca	6	pbmc_cell_frequency_pca+plasma_cytokine_concentration_by_legendplex_pca+t_cell_activation_pca+t_cell_polarization_pca+metadata+baseline
task_12	elnet	0.437	0.628	-0.007	-0.007	0.881	pca	5	pbmc_cell_frequency_pca+plasma_cytokine_concentration_by_legendplex_pca+t_cell_polarization_pca+metadata+baseline
task_12	lasso	0.437	0.623	-0.004	-0.004	0.877	pca	5	pbmc_cell_frequency_pca+plasma_cytokine_concentration_by_legendplex_pca+t_cell_polarization_pca+metadata+baseline
task_12	rf	0.185	0.14	0.086	0.086	0.284	pca	5	pbmc_cell_frequency_pca+plasma_cytokine_concentration_by_legendplex_pca+t_cell_polarization_pca+metadata+baseline
task_12	elnet	0.535	0.515	0.171	0.171	0.899	pca	4	pbmc_cell_frequency_pca+plasma_cytokine_concentration_by_olink_pca+metadata+baseline
task_12	lasso	0.803	0.136	0.707	0.707	0.899	pca	4	pbmc_cell_frequency_pca+plasma_cytokine_concentration_by_olink_pca+metadata+baseline
task_12	rf	0.28	0.15	0.174	0.174	0.386	pca	4	pbmc_cell_frequency_pca+plasma_cytokine_concentration_by_olink_pca+metadata+baseline
task_12	elnet	0.556	0.485	0.213	0.213	0.899	pca	5	pbmc_cell_frequency_pca+plasma_cytokine_concentration_by_olink_pca+t_cell_activation_pca+metadata+baseline
task_12	lasso	0.803	0.136	0.707	0.707	0.899	pca	5	pbmc_cell_frequency_pca+plasma_cytokine_concentration_by_olink_pca+t_cell_activation_pca+metadata+baseline
task_12	rf	0.415	0.064	0.37	0.37	0.46	pca	5	pbmc_cell_frequency_pca+plasma_cytokine_concentration_by_olink_pca+t_cell_activation_pca+metadata+baseline
task_12	elnet	0.468	0.61	0.037	0.037	0.899	pca	6	pbmc_cell_frequency_pca+plasma_cytokine_concentration_by_olink_pca+t_cell_activation_pca+t_cell_polarization_pca+metadata+baseline
task_12	lasso	0.494	0.574	0.088	0.088	0.899	pca	6	pbmc_cell_frequency_pca+plasma_cytokine_concentration_by_olink_pca+t_cell_activation_pca+t_cell_polarization_pca+metadata+baseline
task_12	rf	0.361	0.172	0.24	0.24	0.483	pca	6	pbmc_cell_frequency_pca+plasma_cytokine_concentration_by_olink_pca+t_cell_activation_pca+t_cell_polarization_pca+metadata+baseline
task_12	elnet	0.481	0.592	0.063	0.063	0.899	pca	5	pbmc_cell_frequency_pca+plasma_cytokine_concentration_by_olink_pca+t_cell_polarization_pca+metadata+baseline
task_12	lasso	0.459	0.622	0.019	0.019	0.899	pca	5	pbmc_cell_frequency_pca+plasma_cytokine_concentration_by_olink_pca+t_cell_polarization_pca+metadata+baseline
task_12	rf	0.341	0.13	0.25	0.25	0.433	pca	5	pbmc_cell_frequency_pca+plasma_cytokine_concentration_by_olink_pca+t_cell_polarization_pca+metadata+baseline
task_12	elnet	0.728	0.242	0.557	0.557	0.899	pca	4	pbmc_cell_frequency_pca+t_cell_activation_pca+metadata+baseline
task_12	lasso	0.803	0.136	0.707	0.707	0.899	pca	4	pbmc_cell_frequency_pca+t_cell_activation_pca+metadata+baseline
task_12	rf	0.193	0.05	0.157	0.157	0.229	pca	4	pbmc_cell_frequency_pca+t_cell_activation_pca+metadata+baseline
task_12	elnet	0.414	0.687	-0.072	-0.072	0.899	pca	5	pbmc_cell_frequency_pca+t_cell_activation_pca+t_cell_polarization_pca+metadata+baseline
task_12	lasso	0.451	0.634	0.002	0.002	0.899	pca	5	pbmc_cell_frequency_pca+t_cell_activation_pca+t_cell_polarization_pca+metadata+baseline
task_12	rf	0.119	0.002	0.117	0.117	0.12	pca	5	pbmc_cell_frequency_pca+t_cell_activation_pca+t_cell_polarization_pca+metadata+baseline
task_12	elnet	0.331	0.804	-0.238	-0.238	0.899	pca	4	pbmc_cell_frequency_pca+t_cell_polarization_pca+metadata+baseline
task_12	lasso	0.33	0.805	-0.239	-0.239	0.899	pca	4	pbmc_cell_frequency_pca+t_cell_polarization_pca+metadata+baseline
task_12	rf	0.212	0.042	0.182	0.242	0.182	pca	4	pbmc_cell_frequency_pca+t_cell_polarization_pca+metadata+baseline
task_12	elnet	0.5	0.565	0.101	0.101	0.899	none	3	pbmc_gene_expression+metadata+baseline
task_12	lasso	0.497	0.564	0.099	0.099	0.896	none	3	pbmc_gene_expression+metadata+baseline
task_12	rf	0.196	0.026	0.177	0.215	0.177	none	3	pbmc_gene_expression+metadata+baseline
task_12	elnet	0.763	0.193	0.626	0.626	0.899	none	4	pbmc_gene_expression+plasma_ab_titer+metadata+baseline
task_12	lasso	0.688	0.018	0.675	0.7	0.675	none	4	pbmc_gene_expression+plasma_ab_titer+metadata+baseline
task_12	rf	0.35	0.137	0.253	0.253	0.447	none	4	pbmc_gene_expression+plasma_ab_titer+metadata+baseline
task_12	elnet	0.764	0.195	0.626	0.626	0.902	none	5	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_12	lasso	0.59	0.156	0.48	0.7	0.48	none	5	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_12	rf	0.3	0.051	0.265	0.336	0.265	none	5	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_12	elnet	0.77	0.185	0.639	0.639	0.901	none	6	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_12	lasso	0.564	0.194	0.427	0.701	0.427	none	6	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_12	rf	0.288	0.063	0.244	0.332	0.244	none	6	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_12	elnet	0.77	0.185	0.639	0.639	0.901	none	7	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_12	lasso	0.563	0.196	0.424	0.701	0.424	none	7	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_12	rf	0.319	0.029	0.299	0.299	0.34	none	7	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_12	elnet	0.771	0.187	0.639	0.639	0.904	none	8	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	lasso	0.561	0.198	0.421	0.701	0.421	none	8	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	rf	0.349	0.004	0.346	0.352	0.346	none	8	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	elnet	0.773	0.184	0.643	0.643	0.904	none	7	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_12	lasso	0.559	0.201	0.418	0.701	0.418	none	7	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_12	rf	0.317	0.046	0.284	0.284	0.349	none	7	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_12	elnet	0.766	0.193	0.629	0.629	0.902	none	6	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+metadata+baseline
task_12	lasso	0.594	0.162	0.48	0.709	0.48	none	6	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+metadata+baseline
task_12	rf	0.327	0.086	0.267	0.267	0.388	none	6	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+metadata+baseline
task_12	elnet	0.781	0.176	0.656	0.656	0.905	none	7	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	lasso	0.587	0.153	0.479	0.696	0.479	none	7	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	rf	0.307	0.04	0.279	0.279	0.335	none	7	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	elnet	0.784	0.171	0.663	0.663	0.905	none	6	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_12	lasso	0.59	0.157	0.479	0.702	0.479	none	6	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_12	rf	0.332	0.014	0.322	0.322	0.342	none	6	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_12	elnet	0.773	0.189	0.639	0.639	0.907	none	5	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+metadata+baseline
task_12	lasso	0.636	0.092	0.571	0.701	0.571	none	5	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+metadata+baseline
task_12	rf	0.356	0.077	0.302	0.302	0.411	none	5	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+metadata+baseline
task_12	elnet	0.774	0.192	0.639	0.639	0.91	none	6	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_12	lasso	0.636	0.092	0.571	0.701	0.571	none	6	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_12	rf	0.346	0.019	0.332	0.332	0.359	none	6	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_12	elnet	0.774	0.192	0.639	0.639	0.91	none	7	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	lasso	0.636	0.092	0.571	0.701	0.571	none	7	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	rf	0.303	0.009	0.296	0.309	0.296	none	7	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	elnet	0.773	0.189	0.639	0.639	0.907	none	6	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_12	lasso	0.636	0.092	0.571	0.701	0.571	none	6	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_12	rf	0.346	0.106	0.272	0.272	0.421	none	6	pbmc_gene_expression+plasma_ab_titer+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_12	elnet	0.764	0.191	0.629	0.629	0.899	none	5	pbmc_gene_expression+plasma_ab_titer+t_cell_activation+metadata+baseline
task_12	lasso	0.692	0.024	0.675	0.709	0.675	none	5	pbmc_gene_expression+plasma_ab_titer+t_cell_activation+metadata+baseline
task_12	rf	0.302	0.005	0.298	0.298	0.305	none	5	pbmc_gene_expression+plasma_ab_titer+t_cell_activation+metadata+baseline
task_12	elnet	0.782	0.166	0.664	0.664	0.899	none	6	pbmc_gene_expression+plasma_ab_titer+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	lasso	0.668	0.01	0.661	0.661	0.675	none	6	pbmc_gene_expression+plasma_ab_titer+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	rf	0.312	0.078	0.257	0.257	0.367	none	6	pbmc_gene_expression+plasma_ab_titer+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	elnet	0.793	0.15	0.687	0.687	0.899	none	5	pbmc_gene_expression+plasma_ab_titer+t_cell_polarization+metadata+baseline
task_12	lasso	0.679	0.005	0.675	0.682	0.675	none	5	pbmc_gene_expression+plasma_ab_titer+t_cell_polarization+metadata+baseline
task_12	rf	0.317	0.052	0.28	0.28	0.353	none	5	pbmc_gene_expression+plasma_ab_titer+t_cell_polarization+metadata+baseline
task_12	elnet	0.502	0.567	0.101	0.101	0.902	none	4	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_12	lasso	0.5	0.568	0.099	0.099	0.902	none	4	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_12	rf	0.261	0.012	0.253	0.27	0.253	none	4	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+metadata+baseline
task_12	elnet	0.521	0.533	0.144	0.144	0.898	none	5	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_12	lasso	0.533	0.52	0.165	0.165	0.901	none	5	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_12	rf	0.224	0.047	0.19	0.19	0.257	none	5	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+metadata+baseline
task_12	elnet	0.521	0.533	0.144	0.144	0.898	none	6	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_12	lasso	0.533	0.52	0.165	0.165	0.901	none	6	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_12	rf	0.332	0.022	0.316	0.316	0.347	none	6	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_12	elnet	0.509	0.553	0.118	0.118	0.9	none	7	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	lasso	0.539	0.522	0.17	0.17	0.909	none	7	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	rf	0.333	0.107	0.257	0.257	0.409	none	7	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	elnet	0.509	0.553	0.118	0.118	0.9	none	6	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_12	lasso	0.539	0.522	0.17	0.17	0.909	none	6	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_12	rf	0.284	0.007	0.279	0.288	0.279	none	6	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_12	elnet	0.489	0.584	0.077	0.077	0.902	none	5	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_activation+metadata+baseline
task_12	lasso	0.516	0.546	0.13	0.13	0.902	none	5	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_activation+metadata+baseline
task_12	rf	0.206	0.07	0.157	0.157	0.256	none	5	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_activation+metadata+baseline
task_12	elnet	0.49	0.587	0.075	0.075	0.905	none	6	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	lasso	0.53	0.53	0.155	0.155	0.905	none	6	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	rf	0.24	0.065	0.194	0.194	0.286	none	6	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	elnet	0.493	0.583	0.081	0.081	0.905	none	5	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_12	lasso	0.53	0.53	0.155	0.155	0.905	none	5	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_12	rf	0.242	0.025	0.225	0.26	0.225	none	5	pbmc_gene_expression+plasma_cytokine_concentration_by_legendplex+t_cell_polarization+metadata+baseline
task_12	elnet	0.525	0.54	0.143	0.143	0.907	none	4	pbmc_gene_expression+plasma_cytokine_concentration_by_olink+metadata+baseline
task_12	lasso	0.534	0.522	0.165	0.165	0.904	none	4	pbmc_gene_expression+plasma_cytokine_concentration_by_olink+metadata+baseline
task_12	rf	0.295	0.069	0.246	0.246	0.344	none	4	pbmc_gene_expression+plasma_cytokine_concentration_by_olink+metadata+baseline
task_12	elnet	0.527	0.544	0.143	0.143	0.911	none	5	pbmc_gene_expression+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_12	lasso	0.535	0.523	0.165	0.165	0.905	none	5	pbmc_gene_expression+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_12	rf	0.278	0.075	0.225	0.225	0.331	none	5	pbmc_gene_expression+plasma_cytokine_concentration_by_olink+t_cell_activation+metadata+baseline
task_12	elnet	0.528	0.543	0.144	0.144	0.911	none	6	pbmc_gene_expression+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	lasso	0.535	0.523	0.165	0.165	0.905	none	6	pbmc_gene_expression+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	rf	0.251	0.047	0.218	0.218	0.284	none	6	pbmc_gene_expression+plasma_cytokine_concentration_by_olink+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	elnet	0.524	0.541	0.142	0.142	0.907	none	5	pbmc_gene_expression+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_12	lasso	0.534	0.522	0.165	0.165	0.904	none	5	pbmc_gene_expression+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_12	rf	0.27	0.005	0.267	0.267	0.274	none	5	pbmc_gene_expression+plasma_cytokine_concentration_by_olink+t_cell_polarization+metadata+baseline
task_12	elnet	0.488	0.582	0.077	0.077	0.899	none	4	pbmc_gene_expression+t_cell_activation+metadata+baseline
task_12	lasso	0.513	0.542	0.13	0.13	0.896	none	4	pbmc_gene_expression+t_cell_activation+metadata+baseline
task_12	rf	0.256	0.066	0.209	0.209	0.302	none	4	pbmc_gene_expression+t_cell_activation+metadata+baseline
task_12	elnet	0.488	0.582	0.077	0.077	0.899	none	5	pbmc_gene_expression+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	lasso	0.513	0.542	0.13	0.13	0.896	none	5	pbmc_gene_expression+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	rf	0.271	0.127	0.181	0.181	0.361	none	5	pbmc_gene_expression+t_cell_activation+t_cell_polarization+metadata+baseline
task_12	elnet	0.5	0.565	0.101	0.101	0.899	none	4	pbmc_gene_expression+t_cell_polarization+metadata+baseline
task_12	lasso	0.497	0.564	0.099	0.099	0.896	none	4	pbmc_gene_expression+t_cell_polarization+metadata+baseline
task_12	rf	0.276	0.001	0.275	0.276	0.275	none	4	pbmc_gene_expression+t_cell_polarization+metadata+baseline
task_12	elnet	0.45	0.623	0.01	0.01	0.89	pca	3	pbmc_gene_expression_pca+metadata+baseline
task_12	lasso	0.424	0.66	-0.043	-0.043	0.89	pca	3	pbmc_gene_expression_pca+metadata+baseline
task_12	rf	0.132	0.015	0.122	0.122	0.143	pca	3	pbmc_gene_expression_pca+metadata+baseline
task_12	elnet	0.45	0.623	0.01	0.01	0.89	pca	4	pbmc_gene_expression_pca+plasma_ab_titer_pca+metadata+baseline
task_12	lasso	0.424	0.66	-0.043	-0.043	0.89	pca	4	pbmc_gene_expression_pca+plasma_ab_titer_pca+metadata+baseline
task_12	rf	0.078	0.11	0	0.156	0	pca	4	pbmc_gene_expression_pca+plasma_ab_titer_pca+metadata+baseline
task_12	elnet	0.447	0.61	0.015	0.015	0.878	pca	5	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+metadata+baseline
task_12	lasso	0.428	0.658	-0.037	-0.037	0.893	pca	5	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+metadata+baseline
task_12	rf	0.159	0.116	0.077	0.241	0.077	pca	5	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+metadata+baseline
task_12	elnet	0.468	0.574	0.062	0.062	0.874	pca	6	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+plasma_cytokine_concentration_by_olink_pca+metadata+baseline
task_12	lasso	0.459	0.573	0.054	0.054	0.865	pca	6	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+plasma_cytokine_concentration_by_olink_pca+metadata+baseline
task_12	rf	0.261	0.029	0.24	0.24	0.281	pca	6	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+plasma_cytokine_concentration_by_olink_pca+metadata+baseline
task_12	elnet	0.483	0.514	0.119	0.119	0.847	pca	7	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+plasma_cytokine_concentration_by_olink_pca+t_cell_activation_pca+metadata+baseline
task_12	lasso	0.777	0.164	0.662	0.662	0.893	pca	7	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+plasma_cytokine_concentration_by_olink_pca+t_cell_activation_pca+metadata+baseline
task_12	rf	0.206	0.061	0.163	0.163	0.25	pca	7	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+plasma_cytokine_concentration_by_olink_pca+t_cell_activation_pca+metadata+baseline
task_12	elnet	0.485	0.56	0.089	0.089	0.881	pca	8	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+plasma_cytokine_concentration_by_olink_pca+t_cell_activation_pca+t_cell_polarization_pca+metadata+baseline
task_12	lasso	0.497	0.525	0.125	0.125	0.868	pca	8	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+plasma_cytokine_concentration_by_olink_pca+t_cell_activation_pca+t_cell_polarization_pca+metadata+baseline
task_12	rf	0.21	0.13	0.118	0.118	0.302	pca	8	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+plasma_cytokine_concentration_by_olink_pca+t_cell_activation_pca+t_cell_polarization_pca+metadata+baseline
task_12	elnet	0.464	0.589	0.047	0.047	0.881	pca	7	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+plasma_cytokine_concentration_by_olink_pca+t_cell_polarization_pca+metadata+baseline
task_12	lasso	0.492	0.533	0.115	0.115	0.868	pca	7	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+plasma_cytokine_concentration_by_olink_pca+t_cell_polarization_pca+metadata+baseline
task_12	rf	0.18	0.093	0.114	0.114	0.246	pca	7	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+plasma_cytokine_concentration_by_olink_pca+t_cell_polarization_pca+metadata+baseline
task_12	elnet	0.421	0.647	-0.037	-0.037	0.878	pca	6	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+t_cell_activation_pca+metadata+baseline
task_12	lasso	0.433	0.651	-0.027	-0.027	0.893	pca	6	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+t_cell_activation_pca+metadata+baseline
task_12	rf	0.207	0.001	0.206	0.206	0.208	pca	6	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+t_cell_activation_pca+metadata+baseline
task_12	elnet	0.411	0.672	-0.064	-0.064	0.886	pca	7	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+t_cell_activation_pca+t_cell_polarization_pca+metadata+baseline
task_12	lasso	0.36	0.766	-0.182	-0.182	0.902	pca	7	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+t_cell_activation_pca+t_cell_polarization_pca+metadata+baseline
task_12	rf	0.083	0.107	0.007	0.158	0.007	pca	7	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+t_cell_activation_pca+t_cell_polarization_pca+metadata+baseline
task_12	elnet	0.442	0.628	-0.002	-0.002	0.886	pca	6	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+t_cell_polarization_pca+metadata+baseline
task_12	lasso	0.394	0.719	-0.114	-0.114	0.902	pca	6	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+t_cell_polarization_pca+metadata+baseline
task_12	rf	0.094	0.034	0.07	0.118	0.07	pca	6	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_legendplex_pca+t_cell_polarization_pca+metadata+baseline
task_12	elnet	0.532	0.519	0.166	0.166	0.899	pca	5	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_olink_pca+metadata+baseline
task_12	lasso	0.698	0.285	0.496	0.496	0.899	pca	5	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_olink_pca+metadata+baseline
task_12	rf	0.288	0.151	0.181	0.181	0.395	pca	5	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_olink_pca+metadata+baseline
task_12	elnet	0.534	0.517	0.168	0.168	0.899	pca	6	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_olink_pca+t_cell_activation_pca+metadata+baseline
task_12	lasso	0.78	0.168	0.662	0.662	0.899	pca	6	pbmc_gene_expression_pca+plasma_ab_titer_pca+plasma_cytokine_concentration_by_olink_pca+t_cell_activation_pca+metadata+baseline
